CustLocation,total_customers,avg_balance,total_transaction_volume
"TAL HAVELI DIS PUNE",5,28960.01,0
"TAL IGATPURI DIST NASHIK",1,9083.63,0
"TAL KANCHEEPURAM DIST KANCHEEPURAM",1,5528.37,0
"TAL KHED DIST PUNE",4,13469.72,0
"TAL MULSHI PUNE",25,7969.729200000002,0
"TAL PALGHAR DIST PALGHAR",1,38.83,0
"TAL PALGHAR DIST THANE BOISAR",1,47708.17,0
TAL-MORMUGAO,9,54099.272222222215,0
"TALAB DHANBAD",3,16954.55,0
"TALAKAVERI BANGALORE",5,447726.62,0
TALALA,30,38660.49,0
"TALAO THANE",8,28627.19,0
TALAULIM,1,3711.97,0
"TALAV PADRA VADODARA",6,150751.67,0
"TALAV VIRAR (EAST) THANE",2,2762.58,0
TALEGAO,18,3309.39,0
TALEGAON,2,33704.77,0
"TALEGAON DABHADE",17,21307.46588235294,0
"TALEGAUN DABHADE",3,11051.549999999997,0
TALEIGAD,11,12922.600000000004,0
TALEIGAO,34,85775.83352941177,0
"TALEIGAO PANAJI",1,2005.17,0
"TALEIGAO TISWADI",1,30057.83,0
TALIPARAMBA,19,37286.40000000001,0
"TALKIES BHIWANDI",6,11171.17,0
TALOJA,14,18649.556428571424,0
"TALUK BANGALORE",12,38575.791666666664,0
"TALUK CHENNAI DISTRICT CHENNAI",2,25080.89,0
"TALUK KANCHEEPURAM",14,8015.710000000003,0
"TALUK KANCHEEPURAM DIST",168,2906.9423809523805,0
"TALUK KANCHIPURAM DIST",25,127.23999999999992,0
"TALUK KANCHIPURAM DISTRICT",1,611.19,0
"TALUKA ANJAR  GANDHIDHAM",1,825.19,0
"TALUKA ANJAR GANDHIDHAM",5,121573.562,0
"TALUKA KHED DIST PUNE RAJGURUNAGAR",7,12624.460000000001,0
"TALUKA MAVAL PUNE",2,1134.32,0
"TALUKA PUNE PUNE",12,47583.460000000014,0
"TALUKA-ANJAR  GANDHIDHAM",1,963.2,0
"TALUKA-ANJAR GANDHIDHAM",2,47929.2,0
"TAMAKARI SCHOOL WEST TRIPURA",1,2261.94,0
"TAMBARAM TALUK CHENNAI",1,5775.45,0
TAMBHERE,1,2513.89,0
TAMENGLONG,30,7899.202000000003,0
"TAMIL NADU  HOSUR",1,19.65,0
"TAMIL SANGHAM BANGALORE",4,7239.06,0
"TAMILNADU MADURAI",9,21024.52,0
TAMLUK,26,1880.2200000000007,0
"TAMLUK TAMLUK",3,75.7,0
TAMPA,1,210028.16,0
TAMPINES,3,20695.63,0
"TANAJI NAGAR MALAD E MUMBAI",4,12538.06,0
"TANAKPUR CHAMPAWAT",1,96.61,0
TANDA,32,6191.434375,0
TANDULWADI,1,711.86,0
"TANDUR RANGA REDDY",12,4495.22,0
TANENGLONG,1,1.09,0
TANGUTUR,10,9472.729999999998,0
"TANIYA TOWN THA THANE",1,24461.87,0
TANJAVORE,1,4088.69,0
TANJAVUR,4,3511.62,0
"TANK HYDERABAD",2,0.01,0
"TANK MUMBAI",2,106434.34,0
"TANK TADBUND HYDERABAD",6,2713.23,0
"TANSHIPUR TEHSIL ROORKEE NR SCHL",2,3147.68,0
TANUKU,7,6915.5199999999995,0
TAORU,72,15941.966307692313,0
TAORU/MEWAT,4,0.77,0
TAPI,71,10066.800000000007,0
"TAPIDARSHAN SOC NANAVARACHHA SURAT",1,2705.97,0
"TARA VIDHYALAY SURAT",5,7074.62,0
TARAKESWAR,5,11282.26,0
"TARAMANI CHENNAI",11,31946.350909090906,0
TARAN,13,59681.579999999994,0
"TARAN TARAN",18,12875.799999999996,0
TARAORI,7,1771.115714285714,0
"TARAPORE GARDEN OSHIWARA MUMBAI",6,884.66,0
TARAPUR,50,29113.204200000022,0
"TARAPUR APP BOISAR",2,30419.68,0
"TARAPUR APP THANE",1,215033.5,0
"TARAPUR APP THANE THANE",7,4.57,0
"TARDEO MUMBAI",4,24075.38,0
"TARDEO MUMBAI CENTRAL MUMBAI",1,35.58,0
"TARKAS CLINIC MUMBAI",1,5355.19,0
"TARN TARAN",102,12386.384653465348,0
TASGAON,3,5122.99,0
"TATADOCOMO TOWER SAFIDON",4,2059.44,0
TATANAGAR,1,10680.83,0
TAURU,21,12780.465714285712,0
"TAURU TAORU MEWAT",1,74314.39,0
"TAVEREKERE BANGALORE",1,26725.52,0
TAWANG,5,4133.84,0
"TEAMBLE CHENNAI",7,28241.47,0
"TECH PARK BANGALORE",6,39906.19,0
"TECH WEB CENTER MUMBAI",12,5385.339999999999,0
"TECHNO SCHOOL BANGALORE",5,67574.18,0
"TECHNO SCHOOL VISAKHAPATNAM",17,3118.57,0
TEEKOY,10,2054.18,0
"TEGHARIA KOLKATA",7,22274.12,0
"TEH BALACHAUR",2,3774.51,0
"TEH GURGAON DISTT GURGAON GURGAON",10,40612.812000000005,0
"TEH GURGAON GURGAON",6,83893.82,0
"TEH PAURI PAURI GARHWAL",14,14024.549999999997,0
TEHRI,3,25784.08,0
"TEHRI GARHWAL",182,38011.53692307695,0
TEHRIGARHWAL,12,7902.720833333332,0
"TEHSIL ANDHERI MUMBAI",8,486475.3549999999,0
"TEHSIL BHIVAPUR",7,9248.94,0
"TEHSIL THANE THANE",5,7067.710000000001,0
"TEHSIL VASAI DISTT THANE",2,49315.53,0
"TEHSIL-DIDIHAT PITHORAGARH",7,36967.54,0
"TEHSIL-PUNE PUNE",14,0.36,0
"TEL EX NEXT TO GAYATRISADAN PUNE",5,168686.99,0
TELANAGANA,4,3506.45,0
TELANGANA,13,25837.929999999997,0
"TELANGANA HYDERABAD",8,20631.560000000005,0
"TELEPHONE EXCHANGE MUMBAI",30,32891.411333333344,0
"TELEPHONE EXCHANGE SION E MUMBAI",2,2652.85,0
"TELEPHONE EXCHANGE SION-E MUMBAI",1,14803.41,0
TELIBAGH,10,2572.0499999999997,0
"TEMPLE BANGALORE",31,19664.189354838712,0
"TEMPLE BANGALORE RURAL",6,5201.919999999999,0
"TEMPLE BENGALURU",16,11848.754374999997,0
"TEMPLE BHUBANESWAR",1,53.2,0
"TEMPLE CHENNAI",69,234553.2400000002,0
"TEMPLE HYDERABAD",15,92148.278,0
"TEMPLE ITPL MAIN RD BANGALORE",1,592708.33,0
"TEMPLE KOLLAM",4,4162.84,0
"TEMPLE MANGALORE",2,4019.95,0
"TEMPLE MARGAO",5,12670.93,0
"TEMPLE MUMBAI",3,315.2,0
"TEMPLE NAVI MUMBAI",1,46311.11,0
"TEMPLE PORT BLAIR",1,104337.23,0
"TEMPLE PRAKASAM",3,10480.7,0
"TEMPLE PUNE",13,3770.400000000001,0
"TEMPLE RAJAMUNDRY",1,505.91,0
"TEMPLE RAJKOT",2,2760.3,0
"TEMPLE STREET BANGALORE",2,14248.26,0
"TEMPLE SURAT",9,25499.700000000004,0
"TEMPLE THANE",5,9449.408,0
"TEMPLE U BALANKA EAST GODAVARI DT",1,150252,0
"TEMPLE VASCO",7,11331.83,0
"TEMPLE VISAKHAPATNAM",26,267289.71,0
TENALI,9,12076.31,0
TENKASI,5,1908.5800000000004,0
"TERMINAL 2 WADALA EAST MUMBAI",3,3400.14,0
"TEYNAMPET CHENNAI",8,1391.4662500000002,0
TEZPUR,374,110307.05188829798,0
"TEZPUR SONITAPUR",4,12426.31,0
"THA THANE",2,5925.24,0
"THAKUR COMPLEX KANDIVALI(E) MUMBAI",3,12070.94,0
"THAKUR HOUSE DAHISAR W MUMBAI",16,37342.18,0
"THAKURANI KOLKATA",1,42402.41,0
"THAKURDWAR MUMBAI",2,28917.58,0
THAKURDWARA,2,28.55,0
THAKURLI,1,6494.59,0
"THAKURLI EAST THANE",10,23601.140000000003,0
THAKURPUKUR,1,20169.37,0
THALAPPALLY,1,17362.87,0
THALASSERI,3,1781.37,0
THALASSERY,64,19678.699374999982,0
"THALASSERY MUNICIPALITY",9,4964.849999999999,0
THALAVOOR,8,5131.4425,0
THALAYOLAPARAMBU,11,5075.39,0
"THAN MAHALUNGE INGALE PUNE",1,177.95,0
THANA,17,48033.15588235294,0
THANABHAWAN,1,15979.13,0
THANDALAM,2,461.36,0
THANE,21404,66832.26894714711,0
"THANE  VIRAR EAST",1,40518.9,0
"THANE - W",4,2437.29,0
"THANE -WEST",78,473776.1712820512,0
"THANE (EAST)",53,102370.1905660378,0
"THANE (M CORP)",1,185065.1,0
"THANE (W)",328,57274.806432926904,0
"THANE (W) JEKEIRAM",1,5586.98,0
"THANE (W) THANE",22,3530.555,0
"THANE (WEST)",429,65693.73224299065,0
"THANE (WEST) THANE",15,393.03437500000007,0
"THANE AMBARNATH",2,4563.06,0
"THANE AMBERNATH",1,1478.78,0
"THANE BADLAPUR",28,35672.02714285716,0
"THANE BADLAPUR E",9,32971.38,0
"THANE BELAPOUR RD MIDC NAVI MUMBAI",1,4920.33,0
"THANE BELAPUR RD NAVI MUMBAI",1,7288.75,0
"THANE BHAYANDER EAST THANE",3,9206.93,0
"THANE BHIWANDI",1,272.14,0
"THANE BOISAR WEST",2,70350.3,0
"THANE DIST",10,2508.6699999999996,0
"THANE DISTRICT",4,3.52,0
"THANE DOMBIVALI I A",21,64608.240000000005,0
"THANE E",21,36861.28142857143,0
"THANE EAST",106,34359.35358490565,0
"THANE HANUMAN NAGAR",2,23276.65,0
"THANE KALWA KHOREGAON",3,9727.15,0
"THANE KALYAN",7,48237.015714285706,0
"THANE KALYAN D C THANE",13,3641.7399999999984,0
"THANE KALYAN WEST",8,13640.429999999997,0
"THANE KOPRI EAST",2,41.07,0
"THANE MIRA ROAD E",11,424.36,0
"THANE MIRA ROAD THANE",13,2387.61,0
"THANE MUMBAI",100,75213.29520000001,0
"THANE MUMBRA THANE",4,3984.86,0
"THANE NAVI MUMBAI",15,2091.296666666666,0
"THANE NEAR E W FLYOVER CBD BELAPUR",4,100686.93,0
"THANE NR RATNAKAR BANK THANE",12,6212.86,0
"THANE OPP GRAMPANCHAYAT TARAPUR",1,12601.61,0
"THANE P O BHAYANDER (E) THANE",4,2899.21,0
"THANE SANDUZBAUGH",1,41595.27,0
"THANE SHRI ARIHAT COMPOUND THANE",2,3161.65,0
"THANE TEH THANE DISTT THANE THANE",11,46163.51,0
"THANE THANE",107,22818.726448598154,0
"THANE ULHASNAGAR",3,7762.57,0
"THANE VASAI",20,23830.932,0
"THANE VASAI THANE",4,18423.58,0
"THANE VIDYASHRAM THANE",18,33888.439999999995,0
"THANE VIRAR E",5,964.85,0
"THANE W",496,156410.94820925535,0
"THANE W JEKE GRAM",4,6325.43,0
"THANE W KOLSHET ROAD",1,4566.56,0
"THANE W MUMBAI",10,56176.11,0
"THANE W THANE",1,15406.89,0
"THANE WAGLE IE THANE",2,21158.48,0
"THANE WEST",763,117233.27854712038,0
"THANE WEST THANE",16,11191.566249999998,0
"THANE WEST WAGLE I E THANE",1,11195.84,0
"THANE- EAST",1,61169.9,0
THANE-W,5,281479.06200000003,0
THANE-WEST,7,271127.0642857143,0
THANE(W),6,6161.12,0
THANE(WEST),2,41071.45,0
THANESAR,14,118310.24857142857,0
THANI,1,2990.3,0
THANJAUR,3,331.41,0
THANJAVUR,337,16771.561246290818,0
"THANJAVUR (DT)",2,3389.31,0
"THANJAVUR DIST",5,22519.007999999998,0
"THANJAVUR DT",47,1005.6544680851075,0
THANJAVVR,1,2511.47,0
"THANJAVVR (DT)",19,14844.329999999994,0
"THANJORE DT",18,1926.9022222222225,0
THANJVUR,1,5525.84,0
THANTIKONDA,71,30872.46999999999,0
"THARAMANGALAM BUS STAND SALEM",3,20024.16,0
"THASRA KHEDA",4,76707.13,0
"THE ACRCE CLUB CHEMBUR MUMBAI",1,10827.41,0
"THE ACRE CLUB CHEMBUR MUMBAI",8,8069.520000000002,0
"THE ACRES CLUB CHEMBUR MUMBAI",12,3911.7600000000016,0
"THE DANGS",1,28311.8,0
"THE NILGIRIS",76,52230.991973684155,0
"THEATER BANGALORE",14,12439,0
"THEATER VADGAONSHERI PUNE",2,176.86,0
"THEATRE AMEERPET HYDERABAD",4,72438.25,0
"THEATRE BENGALURU",17,24922.200000000008,0
"THEATRE CHENNAI",3,2493.02,0
"THEATRE LBS MARG GHATKOPAR W MUMBAI",1,20568.89,0
THEKKUMBHAGAM,2,5680.92,0
THENI,87,9147.927471264373,0
"THENI [TAMIL NADU]",34,7090.403823529414,0
"THENI DT",7,7999.732857142857,0
THENILGIRIS,4,4250.85,0
"THERKU VENGANALLUR",1,12274.49,0
THERUMMAL,2,55527.2,0
THIDANADU,1,40414.16,0
"THILLAINAGAR TRICHY",1,8984.14,0
"THIRD FLOOR GURGAON",3,174,0
"THIROVANANTHA PURAM",35,1724498.4399999992,0
THIRSSUR,1,6934.07,0
THIRTHALLI,3,10996.15,0
THIRUCHIRAPPALLI,4,4938.639999999999,0
"THIRUMALA P O TRIVANDRUM",9,13596.949999999999,0
THIRUNELLAI,4,10814.03,0
THIRUNELVELI,14,4189.141428571429,0
"THIRUNELVELI DIST",7,8216.44,0
THIRUNINDRAVUR,17,7506.919999999999,0
THIRUNINRAVAR,1,25871.89,0
THIRUNMUYUR,29,11861.659999999996,0
"THIRUPATHI CHITTOOR",1,898.65,0
THIRUPPUR,14,32758.260000000006,0
THIRUPUR,4,14060.98,0
THIRUTHANI,3,37595.57,0
THIRUVALLA,88,71598.69102272735,0
"THIRUVALLA PATHANAMTHITTA",43,167.69999999999987,0
"THIRUVALLA PO",5,1517.23,0
THIRUVALLORE,5,2852.9900000000002,0
THIRUVALLUR,341,44274.84480938424,0
"THIRUVALLUR DIST",5,5781.853999999999,0
"THIRUVALLUR DT",31,10126.498064516127,0
"THIRUVALLUR TK AND DT",13,5069.600000000001,0
"THIRUVALUR DT",5,59047.95,0
"THIRUVANAMALAI DT",12,6126.963333333333,0
THIRUVANANTHAPURAM,417,65725.29960297767,0
THIRUVANDRAM,11,7051.01,0
THIRUVANMIYUR,1,14639.75,0
"THIRUVANMIYUR CHENNAI",1,33602.18,0
THIRUVANNAMALAI,89,7389.252808988764,0
"THIRUVANNAMALAI (D)",1,38588.77,0
"THIRUVANNAMALAI (DT)",8,19750.16375,0
"THIRUVANNAMALAI DIST",3,5026.003333333334,0
"THIRUVANNAMALAI DT",42,3162.79738095238,0
THIRUVARUR,99,14244.440707070697,0
"THIRUVARUR DT",34,2540.3002941176464,0
THIRUVIDANTHAI,5,2307.38,0
THIRUVOTTIYUR,2,9400.61,0
THIRUVULLORE,1,16.53,0
THIRVVANNAMALAI,2,688.89,0
"THISUNG GUMPA MANGAN",1,3208.51,0
THODAPUZHA,8,84088.08999999998,0
THODUPUZHA,22,3604.682727272727,0
"THODUPUZHA IDUKKI",11,91810.03909090908,0
THOLICODE,1,2330.16,0
"THOMAS TOWN BANGALORE",18,6354.48888888889,0
THOOTHOKUDI,1,11444.98,0
THOOTHUKKUDI,77,5265.377012987011,0
THOOTHUKUDI,73,10204.426575342468,0
"THOOTHUKUDI DIST",2,27541.38,0
"THOOTHUKUDI DISTRICT",3,469.85999999999996,0
"THOOTHUKUDI DT",26,35834.145000000004,0
THOOTHUKUPI,13,12896.369999999997,0
"THORAIPAKKAM CHENNAI",57,1026.3099999999993,0
"THOTHUKUDI DIST",2,39889.93,0
THOTTHUKUDI,1,8821.61,0
THOUBAL,111,4172.020540540546,0
THOUDAL,2,8261.38,0
THRICKODITHANAM,6,8.85,0
"THRIKKAKARA KAKKANAD ERN",13,9813.270000000002,0
THRISSUR,960,79333.20469302808,0
"THRISSUR DISTRICT",1,11393.85,0
THRIUVALLUR,1,9254.51,0
THRRUVARUR,1,2860.28,0
THRUVANNAMALAI,7,2941.16,0
THURAVOOR,22,7717.510000000001,0
THURKAPALLI,27,23657.090000000007,0
THURUTHY,12,69047.33999999998,0
"THUTHIPET AMBUR",20,1041.5,0
THWAL,8,469044.44,0
TIGHARA,6,43.56,0
TIHIDI,7,238361.68999999997,0
TIJARA,22,1871.4677272727267,0
"TIJARA DISTT ALWAR BHIWADI",4,169410.3,0
TIKAMGARH,26,8188.771923076924,0
TIKRIKILLA,4,7561.49,0
"TILAK BHAVAN MUMBAI",12,6257.739999999999,0
"TILAK NAGAR CHEMBUR",6,51148.651666666665,0
TILAKNAGAR,1,2479.04,0
"TILAKNAGAR THANE",9,46537.392222222225,0
TILAKPUR,2,6617.99,0
TILLAKNAGAR,8,63143.5,0
TIMBANA,4,5336.11,0
TINDIVANAM,8,17703.94125,0
TINSUKIA,72,20781.01458333333,0
TIPTUR,10,299.07000000000005,0
TIRPUR,2,357915.4,0
TIRTHOL,11,235.63000000000008,0
TIRUCHANOOR,2,267.84,0
TIRUCHANUR,18,1785.0777777777778,0
TIRUCHENDUR,15,22122.370666666666,0
"TIRUCHENDUR TALUK",6,3367.9899999999993,0
TIRUCHENGODE,11,54998.189090909094,0
TIRUCHI,1,15702.01,0
TIRUCHIRAPALLI,58,124992.97655172416,0
"TIRUCHIRAPALLI DISTRICT",7,123214.89,0
"TIRUCHIRAPALLI DT",13,66735.14,0
TIRUCHIRAPALLY,15,23274.96,0
"TIRUCHIRAPALLY (TRICHY)",85,80714.87070588233,0
TIRUCHIRAPPALI,8,9031.410000000002,0
TIRUCHIRAPPALLI,134,45024.858656716424,0
"TIRUCHIRAPPALLI DT",4,26011.49,0
TIRUCHIRAPPALLY,1,18645.36,0
TIRUCHY,2,1263.44,0
TIRUHIRAPPALLI,9,43965.22,0
TIRUKOILUR,2,3031.67,0
"TIRUMALAGIRI BOWENPALLY HYDERABAD",16,14807.03,0
"TIRUMALAGIRI HMT TOWNSHIP HYDERABAD",2,4042.71,0
"TIRUMALAGIRI HYDERABAD",2,6507.45,0
"TIRUMALGERRY SECUNDERADAD",1,1733.98,0
TIRUNELVELI,438,28351.241894977127,0
"TIRUNELVELI DIST",1,11.96,0
"TIRUNELVELI DT",47,13796.858510638305,0
"TIRUNELVELI RURAL",24,7726.642499999999,0
TIRUNELVLI,1,10324.59,0
TIRUPATHI,85,5072.116705882353,0
"TIRUPATHI CHITTOOR",2,56460.66,0
"TIRUPATHI URBAN",1,382.2,0
TIRUPATI,493,84259.39223123752,0
"TIRUPATI (RURAL)",3,5505.12,0
"TIRUPATI (URBAN)",16,52702.58375000002,0
"TIRUPATI CHITTOOR DIST",10,6087.154,0
"TIRUPATI CHITTOOR DT",10,4523.489999999999,0
"TIRUPATI NGR THANE",2,44205.44,0
"TIRUPATI RURAL",6,150691.65,0
"TIRUPATI URBAN",25,35959.0216,0
TIRUPATTUR,16,33890.19562499999,0
TIRUPPUR,294,49169.66793220335,0
"TIRUPPUR DIST",1,2382.39,0
"TIRUPPUR DISTRICT",5,16718.196,0
TIRUPUR,518,622023.830965248,0
"TIRUPUR DISTRICT",10,64.5,0
TIRUR,6,11191.03,0
TIRUTHANI,8,23257.63,0
TIRUVALLA,8,16274.042500000001,0
TIRUVALLUR,739,24016.62500000003,0
"TIRUVALLUR CHENNAI",3,15043.080000000002,0
"TIRUVALLUR DT",32,83949.19406249997,0
TIRUVANAMALAI,1,2734.57,0
TIRUVANNAMAI,1,21047.44,0
TIRUVANNAMALAI,302,14700.412947019864,0
"TIRUVANNAMALAI (D)",6,10446.926666666666,0
"TIRUVANNAMALAI (DT)",8,1530.7000000000003,0
"TIRUVANNAMALAI DT",20,10756.426500000003,0
"TIRUVANNAMALAI TK",3,15808.96,0
TIRUVANNAMALAI(DT),2,3672.39,0
"TIRUVANNAMALI (D)",5,4156.35,0
TIRUVARUR,27,3169.068148148147,0
"TIRUVARUR DT",14,14362.727857142852,0
TIRUVAURR,1,5734.36,0
TISWADI,42,53943.388333333365,0
TITAGARH,10,106.80999999999997,0
TITWALA,5,49246.488,0
"TITWALA EAST",1,10187.89,0
TIVIM,19,90012.77736842104,0
"TIVIM BARDEZ",6,12223.03,0
"TIWRI VASAI EAST",9,1640.33,0
"TK KANCHEEPURAM DIST",8,169.20000000000002,0
"TO 11TH CROSS BANGALORE",13,21258.03769230769,0
"TO APOLO PHARMACY BANGALORE",1,23909.79,0
"TO B KAVERI TAILORS BANGALORE",23,128915.39999999995,0
"TO BOWRING HOSPITAL BANGALORE",7,8576.87,0
"TO DIAMOND HOUSE HYDERABAD",17,3546.9599999999996,0
"TO ELLO MARKET BANDRA W MUMBAI",2,804.95,0
"TO J P PARK BANGALORE",5,12784.14,0
"TO LILHOWKI HYDERABAD",15,19858.590000000004,0
"TO MOTHERHOOD HOSPITAL BANGALORE",46,806.8,0
"TO NEVILLE HOUSE MUMBAI",6,15387.510000000002,0
"TO PET S SHOP KADAVANTHRA KOCHI",2,34130.85,0
"TO SBM BANGALORE",3,26.790000000000003,0
"TO STANDARD CHARTED BANK HYDERABAD",13,41773.479999999996,0
TODAMPARA,1,42311.27,0
TOHANA,134,34501.92052238806,0
"TOHANA FATEHABAD",7,27131.230000000003,0
TOKYO,22,78539.56000000004,0
"TOLLYGUNGE PO TOLLYGUNGE KOLKATA",2,171.91,0
"TOLLYGUNJ FIRE STATION KOLKATA",2,69299.27,0
TONK,36,56353.932777777765,0
TOONGABBIE,1,12557.58,0
"TOPH SHERKHANIAN",2,6268.88,0
"TORNA GARDEN PUNE",3,20577.09,0
TOSHAM,1,16377.18,0
"TOTAL SUPER  STORE BANGALORE",15,91762.07000000004,0
"TOTAL SUPERSTORE BANGALORE",8,102510.36,0
"TOWARDS ASHOK NAGAR HYDERABAD",3,950.15,0
"TOWER HYDERABAD",9,163288.8411111111,0
"TOWER NO 6 MUMBAI",11,103993.51,0
"TOWER-C SADARAMANGALA BANGALORE",2,129320.1,0
